Başlık,Yayınevi,Yazar,İndirimsiz Fiyat (TL),İndirimli Fiyat (TL),İndirim Oranı (%),Puanlama (5 üzerinden)
Miss Julie and Other Plays,Oxford University Press - Classics,Johan August Strindberg,490.00,490.00,Yok,0.0
Pembe Panter Cinayetleri,Ulysses Yayınları,Erkan Aksu,270.00,210.60,Yok,0.0
Yangın,Ulysses Yayınları,Cavide Aleyna Tektaş,210.00,163.80,Yok,0.0
Antigone; Oedipus The King; Electra,Oxford University Press - Classics,Sophocles,490.00,490.00,Yok,0.0
Oedipus The King and Other Tragedies,Oxford University Press - Classics,Sophocles,490.00,490.00,Yok,0.0
Cümle`nin Maksadı,Elya Yayıncılık,Murat Nail Üner,223.00,169.48,Yok,0.0
The Comedy Of Errors,Oxford University Press - Classics,William Shakespeare,490.00,490.00,Yok,0.0
Uyanış,Dorlion Yayınları,Kate Chopin,217.00,130.20,Yok,0.0
Gece Yürüyüşü,Dorlion Yayınları,Mahmut Yesari,167.00,100.20,Yok,0.0
Gizemli Konak,Herdem Kitap,Zeynep Güney Batımor,140.00,95.20,Yok,0.0
Cymbeline,Oxford University Press - Classics,William Shakespeare,490.00,490.00,Yok,0.0
Benim Adım Anne,Herdem Kitap,Zeynep Batımor,250.00,170.00,Yok,0.0
Troilus and Cressida: The Oxford Shakespeare,Oxford University Press - Classics,William Shakespeare,490.00,490.00,Yok,0.0
The Taming Of The Shrew: The Oxford Shakespeare,Oxford University Press - Classics,William Shakespeare,490.00,490.00,Yok,0.0
Hamlet: The Oxford Shakespeare,Oxford University Press - Classics,William Shakespeare,490.00,490.00,Yok,0.0
Semaver,SAGA Kitap,Sait Faik Abasıyanık,140.00,95.20,Yok,0.0
Othello: The Oxford Shakespeare,Oxford University Press - Classics,William Shakespeare,490.00,490.00,Yok,0.0
Şahmerdan,SAGA Kitap,Sait Faik Abasıyanık,130.00,88.40,Yok,0.0
Anthony and Cleopatra: The Oxford Shakespeare,Oxford University Press - Classics,William Shakespeare,490.00,490.00,Yok,0.0
The Merchant Of Venice: The Oxford Shakespeare,Oxford University Press - Classics,William Shakespeare,490.00,490.00,Yok,0.0
The Oxford Shakespeare: Julius Caesar,Oxford University Press - Classics,William Shakespeare,490.00,490.00,Yok,0.0
Sarnıç,SAGA Kitap,Sait Faik Abasıyanık,120.00,81.60,Yok,0.0
Bela Lugosi,Kara Karga Yayınları,Philippe Thirault,220.00,154.00,Yok,0.0
Erasmus ve Reformasyon Çağı,Dorlion Yayınları,Johan Huizinga,298.00,178.80,Yok,0.0
Belleğimden İzler,Dorlion Yayınları,Nurettin Aldemir,379.00,227.40,Yok,0.0
